x y z p
0.05 0.05 0 -16.8662
0.05 0.15 0 -19.9153
0.05 0.25 0 -21.2356
0.05 0.35 0 -22.0649
0.05 0.45 0 -22.6875
0.05 0.55 0 -23.2271
0.05 0.65 0 -23.7562
0.05 0.75 0 -24.3256
0.05 0.85 0 -24.9755
0.05 0.95 0 -25.7415
0.05 1.05 0 -26.6565
0.05 1.15 0 -27.7531
0.05 1.25 0 -29.0642
0.05 1.35 0 -30.6247
0.05 1.45 0 -32.4722
0.05 1.55 0 -34.6484
0.05 1.65 0 -37.2011
0.05 1.75 0 -40.1864
0.05 1.85 0 -43.6726
0.05 1.95 0 -47.7455
0.05 2.05 0 -52.5181
0.05 2.15 0 -58.1452
0.05 2.25 0 -64.8509
0.05 2.35 0 -72.9756
0.05 2.45 0 -83.0643
0.05 2.55 0 -96.0266
0.05 2.65 0 -113.422
0.05 2.75 0 -137.897
0.05 2.85 0 -173.475
0.05 2.95 0 -223.028
0.05 3.05 0 -261.214
0.15 0.05 0 -18.1785
0.15 0.15 0 -20.5367
0.15 0.25 0 -21.5028
0.15 0.35 0 -22.1864
0.15 0.45 0 -22.7413
0.15 0.55 0 -23.2419
0.15 0.65 0 -23.7437
0.15 0.75 0 -24.2912
0.15 0.85 0 -24.9222
0.15 0.95 0 -25.6707
0.15 1.05 0 -26.569
0.15 1.15 0 -27.6489
0.15 1.25 0 -28.9429
0.15 1.35 0 -30.4854
0.15 1.45 0 -32.3137
0.15 1.55 0 -34.469
0.15 1.65 0 -36.9985
0.15 1.75 0 -39.9579
0.15 1.85 0 -43.4145
0.15 1.95 0 -47.4529
0.15 2.05 0 -52.1837
0.15 2.15 0 -57.7564
0.15 2.25 0 -64.3805
0.15 2.35 0 -72.3574
0.15 2.45 0 -82.1239
0.15 2.55 0 -94.2982
0.15 2.65 0 -109.682
0.15 2.75 0 -129.084
0.15 2.85 0 -152.515
0.15 2.95 0 -175.562
0.15 3.05 0 -170.408
0.25 0.05 0 -19.3291
0.25 0.15 0 -21.3099
0.25 0.25 0 -21.9444
0.25 0.35 0 -22.4219
0.25 0.45 0 -22.8465
0.25 0.55 0 -23.2571
0.25 0.65 0 -23.6905
0.25 0.75 0 -24.1816
0.25 0.85 0 -24.7631
0.25 0.95 0 -25.4659
0.25 1.05 0 -26.3202
0.25 1.15 0 -27.3563
0.25 1.25 0 -28.6057
0.25 1.35 0 -30.1015
0.25 1.45 0 -31.88
0.25 1.55 0 -33.9812
0.25 1.65 0 -36.451
0.25 1.75 0 -39.3428
0.25 1.85 0 -42.7209
0.25 1.95 0 -46.6651
0.25 2.05 0 -51.2762
0.25 2.15 0 -56.6838
0.25 2.25 0 -63.0528
0.25 2.35 0 -70.584
0.25 2.45 0 -79.4949
0.25 2.55 0 -89.9565
0.25 2.65 0 -101.964
0.25 2.75 0 -115.127
0.25 2.85 0 -128.185
0.25 2.95 0 -136.622
0.25 3.05 0 -121.137
0.35 0.05 0 -20.3015
0.35 0.15 0 -22.0694
0.35 0.25 0 -22.4364
0.35 0.35 0 -22.7019
0.35 0.45 0 -22.9664
0.35 0.55 0 -23.2531
0.35 0.65 0 -23.5861
0.35 0.75 0 -23.9919
0.35 0.85 0 -24.4975
0.35 0.95 0 -25.1299
0.35 1.05 0 -25.9167
0.35 1.15 0 -26.8862
0.35 1.25 0 -28.0683
0.35 1.35 0 -29.495
0.35 1.45 0 -31.201
0.35 1.55 0 -33.225
0.35 1.65 0 -35.6108
0.35 1.75 0 -38.4086
0.35 1.85 0 -41.6775
0.35 1.95 0 -45.4866
0.35 2.05 0 -49.9165
0.35 2.15 0 -55.0554
0.35 2.25 0 -60.9876
0.35 2.35 0 -67.7644
0.35 2.45 0 -75.3537
0.35 2.55 0 -83.578
0.35 2.65 0 -92.0819
0.35 2.75 0 -100.345
0.35 2.85 0 -107.405
0.35 2.95 0 -109.903
0.35 3.05 0 -94.1511
