x y z u v w
0.05 0.05 0 0.0203305 0.0424963 0
0.05 0.15 0 0.0180445 0.0725161 0
0.05 0.25 0 0.0103943 0.0507754 0
0.05 0.35 0 0.00508242 0.0368671 0
0.05 0.45 0 0.00192572 0.0304552 0
0.05 0.55 0 -4.25376e-05 0.0287211 0
0.05 0.65 0 -0.0014274 0.0300561 0
0.05 0.75 0 -0.00253097 0.0336682 0
0.05 0.85 0 -0.00350023 0.0391758 0
0.05 0.95 0 -0.00441254 0.0464022 0
0.05 1.05 0 -0.0053155 0.0552846 0
0.05 1.15 0 -0.00624496 0.0658364 0
0.05 1.25 0 -0.00723405 0.0781336 0
0.05 1.35 0 -0.00831931 0.092315 0
0.05 1.45 0 -0.00954664 0.108594 0
0.05 1.55 0 -0.0109792 0.12728 0
0.05 1.65 0 -0.012709 0.148824 0
0.05 1.75 0 -0.014876 0.173883 0
0.05 1.85 0 -0.0176994 0.203432 0
0.05 1.95 0 -0.021529 0.238954 0
0.05 2.05 0 -0.0269282 0.282739 0
0.05 2.15 0 -0.0347984 0.338373 0
0.05 2.25 0 -0.0465398 0.411472 0
0.05 2.35 0 -0.0641691 0.510658 0
0.05 2.45 0 -0.0900728 0.64845 0
0.05 2.55 0 -0.125315 0.840589 0
0.05 2.65 0 -0.163289 1.09891 0
0.05 2.75 0 -0.170004 1.40398 0
0.05 2.85 0 -0.0298908 1.62724 0
0.05 2.95 0 0.586523 1.39944 0
0.05 3.05 0 2.50325 0.553445 0
0.15 0.05 0 0.0486557 0.0722883 0
0.15 0.15 0 0.0501466 0.136752 0
0.15 0.25 0 0.0321847 0.118076 0
0.15 0.35 0 0.0163966 0.101069 0
0.15 0.45 0 0.00523615 0.0935454 0
0.15 0.55 0 -0.00266868 0.0947561 0
0.15 0.65 0 -0.00869046 0.103148 0
0.15 0.75 0 -0.0136962 0.117557 0
0.15 0.85 0 -0.0181888 0.137284 0
0.15 0.95 0 -0.0224722 0.161987 0
0.15 1.05 0 -0.0267534 0.191581 0
0.15 1.15 0 -0.0311999 0.226186 0
0.15 1.25 0 -0.0359748 0.266113 0
0.15 1.35 0 -0.0412631 0.311878 0
0.15 1.45 0 -0.0472992 0.364245 0
0.15 1.55 0 -0.0544008 0.424304 0
0.15 1.65 0 -0.0630149 0.493587 0
0.15 1.75 0 -0.0737841 0.574235 0
0.15 1.85 0 -0.0876401 0.669215 0
0.15 1.95 0 -0.105933 0.782601 0
0.15 2.05 0 -0.130587 0.919859 0
0.15 2.15 0 -0.164233 1.08802 0
0.15 2.25 0 -0.21013 1.29536 0
0.15 2.35 0 -0.271342 1.54973 0
0.15 2.45 0 -0.347789 1.85357 0
0.15 2.55 0 -0.427835 2.19179 0
0.15 2.65 0 -0.467179 2.50638 0
0.15 2.75 0 -0.34109 2.6534 0
0.15 2.85 0 0.251775 2.36721 0
0.15 2.95 0 1.95596 1.38963 0
0.15 3.05 0 5.97596 0.352431 0
0.25 0.05 0 0.0592153 0.0854215 0
0.25 0.15 0 0.071271 0.170606 0
0.25 0.25 0 0.0498925 0.164594 0
0.25 0.35 0 0.0248563 0.156636 0
0.25 0.45 0 0.00376447 0.157307 0
0.25 0.55 0 -0.0130706 0.167965 0
0.25 0.65 0 -0.0268936 0.188106 0
0.25 0.75 0 -0.0388891 0.216955 0
0.25 0.85 0 -0.0499192 0.253938 0
0.25 0.95 0 -0.0605927 0.298785 0
0.25 1.05 0 -0.0713731 0.351526 0
0.25 1.15 0 -0.0826638 0.41247 0
0.25 1.25 0 -0.0948737 0.482211 0
0.25 1.35 0 -0.108474 0.561663 0
0.25 1.45 0 -0.124056 0.652117 0
0.25 1.55 0 -0.142397 0.755337 0
0.25 1.65 0 -0.164538 0.87367 0
0.25 1.75 0 -0.191875 1.01017 0
0.25 1.85 0 -0.226247 1.16867 0
0.25 1.95 0 -0.269982 1.35372 0
0.25 2.05 0 -0.3258 1.57025 0
0.25 2.15 0 -0.396297 1.82238 0
0.25 2.25 0 -0.482444 2.11087 0
0.25 2.35 0 -0.5799 2.42784 0
0.25 2.45 0 -0.670909 2.74696 0
0.25 2.55 0 -0.708144 3.00775 0
0.25 2.65 0 -0.586253 3.09679 0
0.25 2.75 0 -0.100325 2.84311 0
0.25 2.85 0 1.09512 2.07947 0
0.25 2.95 0 3.47718 0.872953 0
0.25 3.05 0 7.45703 0.0964455 0
0.35 0.05 0 0.0614055 0.0938353 0
0.35 0.15 0 0.0788942 0.194381 0
0.35 0.25 0 0.0553485 0.20251 0
0.35 0.35 0 0.0223672 0.208681 0
0.35 0.45 0 -0.00893101 0.223256 0
0.35 0.55 0 -0.0361897 0.248343 0
0.35 0.65 0 -0.0599511 0.284238 0
0.35 0.75 0 -0.0813759 0.330708 0
0.35 0.85 0 -0.101551 0.387513 0
0.35 0.95 0 -0.121371 0.454614 0
0.35 1.05 0 -0.141592 0.532248 0
0.35 1.15 0 -0.162913 0.620952 0
0.35 1.25 0 -0.186062 0.721582 0
0.35 1.35 0 -0.211878 0.835349 0
0.35 1.45 0 -0.241382 0.963868 0
0.35 1.55 0 -0.275856 1.10919 0
0.35 1.65 0 -0.316901 1.27384 0
0.35 1.75 0 -0.366451 1.4607 0
0.35 1.85 0 -0.426689 1.67274 0
0.35 1.95 0 -0.499721 1.9124 0
0.35 2.05 0 -0.586759 2.18017 0
0.35 2.15 0 -0.686308 2.47208 0
0.35 2.25 0 -0.790541 2.77529 0
0.35 2.35 0 -0.878567 3.06127 0
0.35 2.45 0 -0.905165 3.27685 0
0.35 2.55 0 -0.784536 3.33643 0
0.35 2.65 0 -0.372538 3.12572 0
0.35 2.75 0 0.540616 2.53721 0
0.35 2.85 0 2.20338 1.56173 0
0.35 2.95 0 4.80647 0.445618 0
0.35 3.05 0 8.26036 -0.0474564 0
0.45 0.05 0 0.0580135 0.101237 0
0.45 0.15 0 0.0736396 0.215923 0
0.45 0.25 0 0.0455767 0.23887 0
0.45 0.35 0 0.00436048 0.261678 0
0.45 0.45 0 -0.037398 0.293575 0
0.45 0.55 0 -0.0759188 0.336519 0
0.45 0.65 0 -0.111021 0.391152 0
0.45 0.75 0 -0.143685 0.457661 0
0.45 0.85 0 -0.175106 0.536162 0
0.45 0.95 0 -0.206409 0.6269 0
0.45 1.05 0 -0.238621 0.730343 0
0.45 1.15 0 -0.272739 0.84722 0
0.45 1.25 0 -0.309808 0.978539 0
0.45 1.35 0 -0.351003 1.1256 0
0.45 1.45 0 -0.397696 1.28998 0
0.45 1.55 0 -0.451481 1.47345 0
0.45 1.65 0 -0.514131 1.67785 0
0.45 1.75 0 -0.587407 1.90463 0
0.45 1.85 0 -0.672592 2.15419 0
0.45 1.95 0 -0.769544 2.42455 0
0.45 2.05 0 -0.874874 2.70911 0
0.45 2.15 0 -0.978743 2.99342 0
0.45 2.25 0 -1.05964 3.25047 0
0.45 2.35 0 -1.07672 3.43573 0
0.45 2.45 0 -0.960455 3.4841 0
0.45 2.55 0 -0.604992 3.31512 0
0.45 2.65 0 0.130025 2.85509 0
0.45 2.75 0 1.39697 2.08343 0
0.45 2.85 0 3.30724 1.09664 0
0.45 2.95 0 5.84316 0.171718 0
0.45 3.05 0 8.72894 -0.113784 0
0.55 0.05 0 0.048926 0.108863 0
0.55 0.15 0 0.0551999 0.238341 0
0.55 0.25 0 0.0189447 0.277265 0
0.55 0.35 0 -0.0318545 0.318494 0
0.55 0.45 0 -0.0846298 0.369938 0
0.55 0.55 0 -0.135015 0.433011 0
0.55 0.65 0 -0.18239 0.508384 0
0.55 0.75 0 -0.227584 0.596505 0
0.55 0.85 0 -0.271847 0.697789 0
0.55 0.95 0 -0.316467 0.812735 0
0.55 1.05 0 -0.362687 0.941992 0
0.55 1.15 0 -0.411726 1.08638 0
0.55 1.25 0 -0.464848 1.24687 0
0.55 1.35 0 -0.523409 1.42454 0
0.55 1.45 0 -0.588866 1.62048 0
0.55 1.55 0 -0.662694 1.83554 0
0.55 1.65 0 -0.746142 2.06995 0
0.55 1.75 0 -0.839716 2.32263 0
0.55 1.85 0 -0.942213 2.59002 0
0.55 1.95 0 -1.04905 2.86434 0
0.55 2.05 0 -1.1496 3.13111 0
0.55 2.15 0 -1.22319 3.36612 0
0.55 2.25 0 -1.2339 3.53248 0
0.55 2.35 0 -1.12504 3.57978 0
0.55 2.45 0 -0.81598 3.44865 0
0.55 2.55 0 -0.206007 3.08532 0
0.55 2.65 0 0.809043 2.46845 0
0.55 2.75 0 2.30455 1.64272 0
0.55 2.85 0 4.28246 0.744196 0
0.55 2.95 0 6.62036 0.0105337 0
0.55 3.05 0 9.01967 -0.139455 0
0.65 0.05 0 0.0331074 0.117133 0
0.65 0.15 0 0.0223353 0.262831 0
0.65 0.25 0 -0.0260821 0.319297 0
0.65 0.35 0 -0.0881578 0.380534 0
0.65 0.45 0 -0.152608 0.45311 0
0.65 0.55 0 -0.215278 0.537766 0
0.65 0.65 0 -0.275492 0.635051 0
0.65 0.75 0 -0.334047 0.74556 0
0.65 0.85 0 -0.392236 0.869925 0
0.65 0.95 0 -0.451445 1.00883 0
0.65 1.05 0 -0.513018 1.16299 0
0.65 1.15 0 -0.578259 1.33316 0
